MWSC,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,SType,[Fe/H],e_[Fe/H],o_[Fe/H],Simbad,
758,DC_8             , , ,92.329,31.223,180.574,5.576,0.017,0.05,0.085,0.07,-4.45,       ,        ,0,9,24,43,2710,1.041,12.5,0.5,0.333,0,8.605,0.111,2,   ,        ,       ,0,Simbad,
759,Sh2_252C         ,n,o,92.337,20.66,189.852,0.498,0.01,0.038,0.085,2.77,-9.25,20.8,        ,0,2,8,20,2109,1.957,12.25,0.94,0.627,0.025,8.25,       ,    ,irc,        ,       ,0,Simbad,
763,Platais_5        ,m,o,93.675,-22.5,229.613,-17.807,0.1,1.42,2.07,-6.1,7,30.9,        ,1,4,180,401,272,0,7.173,0,0,-0.03,7.78,       ,    ,   ,        ,       ,0,Simbad,
764,NGC_2175         ,n,o,92.422,20.505,190.026,0.493,0.02,0.09,0.15,1.92,-7.55,22,7.7,0,1,15,53,1636,0.562,11.25,0.27,0.18,-0.05,7,       ,    ,   ,        ,       ,0,Simbad,
765,NGC_2180         , , ,92.437,4.805,203.841,-7.027,0.02,0.07,0.11,0.6,0.19,       ,        ,0,3,20,52,1882,0.396,11.5,0.19,0.127,-0.03,9.355,       ,    ,   ,        ,       ,0,Simbad,
769,FSR_0960         , , ,92.46,12.345,197.194,-3.414,0.01,0.07,0.14,-0.87,-2.73,       ,        ,0,2,30,91,2120,1.145,12,0.55,0.367,0,8.52,0.063,4,   ,        ,       ,0,Simbad,
770,FSR_1105         , , ,92.497,-7.985,215.421,-12.824,0.02,0.08,0.135,4.32,-1.05,       ,        ,0,6,25,52,1581,1.041,11.33,0.5,0.333,0,8.63,       ,1,   ,        ,       ,0,Simbad,
771,FSR_1094         , , ,92.497,-6.32,213.892,-12.087,0.01,0.085,0.16,3.99,-3.38,       ,        ,0,1,24,61,1627,0.912,11.35,0.438,0.292,0,8.85,       ,    ,   ,        ,       ,0,Simbad,
772,Koposov_63       , , ,92.508,24.55,186.521,2.515,0.015,0.06,0.1,1.65,-2.1,       ,        ,0,4,43,90,3220,0.5,12.7,0.24,0.16,-0.025,9.22,0.016,14,   ,        ,       ,0,Simbad,
775,FSR_0952         , , ,92.572,13.017,196.656,-2.995,0.015,0.1,0.17,-1.16,-1.84,       ,        ,0,3,83,209,1994,0.625,11.7,0.3,0.2,0,9.105,0.025,10,irc,        ,       ,0,Simbad,
776,FSR_0924         , , ,92.608,16.833,193.327,-1.126,0.02,0.06,0.11,-0.63,-6.97,       ,        ,0,7,32,89,1721,0.999,11.501,0.48,0.32,0.01,8.87,       ,    ,irc,        ,       ,0,Simbad,
777,FSR_0923         , , ,92.64,16.97,193.221,-1.034,0.025,0.093,0.17,0.83,-6.51,       ,        ,0,14,75,211,1444,1.249,11.2,0.6,0.4,0.01,8.725,       ,    ,irc,        ,       ,0,Simbad,
779,NGC_2183         ,n,o,92.7,-6.2,213.874,-11.853,0.025,0.2,0.39,-0.27,-4.02,10.3,        ,1,0,52,164,1047,0.625,10.301,0.3,0.2,-0.055,7.15,       ,    ,emb,        ,       ,0,Simbad,
780,Pismis_27        , , ,92.73,20.615,190.069,0.798,0.018,0.045,0.1,0.98,-4.03,       ,        ,0,7,17,56,1664,0.604,11.3,0.29,0.193,0,8.25,0.203,2,   ,        ,       ,0,Simbad,
781,FSR_0939         , , ,92.742,14.396,195.525,-2.188,0.02,0.11,0.24,0.16,1.54,       ,        ,0,8,85,312,2397,0.937,12.2,0.45,0.3,0.03,8.71,       ,    ,irc,        ,       ,0,Simbad,
784,NGC_2184         , , ,92.827,-3.42,211.401,-10.489,0.02,0.11,0.18,-2.7,-1.31,       ,        ,0,2,15,27,621,0.104,8.999,0.05,0.033,-0.03,8.6,       ,    ,   ,        ,       ,0,Simbad,
785,FSR_0968         , , ,92.841,11.871,197.789,-3.315,0.015,0.065,0.12,-0.4,-1.8,       ,        ,0,5,39,77,2187,0.312,11.8,0.15,0.1,0,8.52,0.045,5,   ,        ,       ,0,Simbad,
786,FSR_0985         , , ,92.94,7.02,202.114,-5.54,0.01,0.1,0.17,-0.64,-3.84,       ,        ,0,2,49,143,2450,0.791,12.2,0.38,0.253,0.02,8.5,       ,    ,   ,        ,       ,0,Simbad,
787,NGC_2186         , , ,93.037,5.463,203.54,-6.19,0.015,0.07,0.13,0.03,-0.12,20.2,0.19,1,4,33,92,1445,0.26,10.883,0.125,0.083,0,8.2,       ,    ,   ,        ,       ,0,Simbad,
788,NGC_2189         , , ,93.03,1.055,207.465,-8.257,0.02,0.07,0.15,1.88,-2.16,       ,        ,0,5,29,102,1468,0.208,10.901,0.1,0.067,0,9.175,0.078,2,non,        ,       ,0,Simbad,
789,FSR_1000         , , ,93.067,5.185,203.801,-6.294,0.02,0.09,0.16,0.76,0.79,       ,        ,0,3,45,127,1917,0.271,11.5,0.13,0.087,-0.02,8.79,0.057,2,   ,        ,       ,0,Simbad,
790,FSR_0956         , , ,93.105,13.02,196.903,-2.538,0.02,0.08,0.16,-1.5,-0.26,       ,        ,0,2,44,130,2180,0.958,12,0.46,0.307,0.015,8.1,       ,    ,irc,        ,       ,0,Simbad,
795,Czernik_25       , , ,93.423,6.953,202.401,-5.149,0.02,0.092,0.205,0.22,0.22,       ,        ,0,15,74,258,1861,0.625,11.55,0.3,0.2,-0.03,8.52,0.044,3,   ,        ,       ,0,Simbad,
796,FSR_0931         , , ,93.252,15.93,194.416,-1.019,0.018,0.065,0.13,0.8,-5.3,       ,        ,0,6,42,134,1659,0.625,11.3,0.3,0.2,-0.01,7.4,       ,    ,   ,        ,       ,0,Simbad,
800,FSR_0937         , , ,93.426,14.995,195.317,-1.32,0.012,0.05,0.1,-0.08,-1.78,       ,        ,0,4,25,71,4597,0.583,13.5,0.28,0.187,0.03,8.98,0.03,7,irc,        ,       ,0,Simbad,
802,FSR_0893         , , ,93.427,21.552,189.559,1.819,0.02,0.063,0.125,1.15,-7.17,       ,        ,0,11,53,170,1485,0.75,11.1,0.36,0.24,-0.04,8.725,       ,    ,   ,        ,       ,0,Simbad,
803,NGC_2194         , , ,93.442,12.818,197.238,-2.346,0.035,0.145,0.24,0.28,-1.43,7.5,0.8,7,20,173,325,2804,0.5,12.4,0.24,0.16,-0.01,8.8,0.02,43,   ,        ,       ,0,Simbad,
807,FSR_1120         , , ,93.51,-9.375,217.151,-12.534,0.02,0.075,0.14,4.61,1.94,       ,        ,0,3,7,9,830,3.123,10.6,1.5,1,0.06,7.3,       ,    ,   ,        ,       ,0,Simbad,
808,Kronberger_12    , , ,93.562,22.483,188.8,2.373,0.01,0.055,0.1,-1.04,-5.85,       ,        ,0,2,35,73,1893,0.666,11.6,0.32,0.213,0,8.87,0.084,2,   ,        ,       ,0,Simbad,
809,FSR_0940         ,r,o,93.562,14.8,195.551,-1.297,0.017,0.085,0.125,-0.11,1.25,       ,        ,0,2,31,71,2421,0.25,12,0.12,0.08,0,9.4,       ,    ,irc,        ,       ,0,Simbad,
813,ASCC_22          , , ,93.63,0.66,208.099,-7.908,0.015,0.13,0.205,-4.16,-3.97,90.3,3.54,2,1,31,64,771,0.198,9.499,0.095,0.063,0,8.455,       ,    ,   ,        ,       ,0,Simbad,
814,ESO_425-15       ,r,o,93.667,-29.38,236.38,-20.344,0.015,0.06,0.105,-2.6,3.52,       ,        ,0,2,7,17,1070,0.167,10.201,0.08,0.053,0,9.005,       ,1,rem,        ,       ,0,Simbad,
816,IRAS_06117+1901  , , ,93.69,19.019,191.903,0.825,0.01,0.045,0.075,0.36,-5.16,       ,        ,0,1,14,43,2140,0.77,11.9,0.37,0.247,0,8.05,       ,1,irc,        ,       ,0,Simbad,
817,Skiff_J0614+12.9 , , ,93.708,12.865,197.32,-2.096,0.01,0.05,0.085,-1.22,-1.94,       ,        ,0,4,25,50,2874,0.645,12.5,0.31,0.207,0.01,8.45,       ,    ,   ,        ,       ,0,Simbad,
819,BDSB_82          , , ,93.747,12.338,197.802,-2.314,0.012,0.05,0.11,0.17,0.07,       ,        ,0,3,17,61,1934,0.833,11.7,0.4,0.267,0.02,7.915,0.151,2,irc,        ,       ,0,Simbad,
820,NGC_2192         , , ,93.82,39.868,173.398,10.654,0.012,0.09,0.18,-2.68,-3.32,       ,        ,0,4,53,104,3501,0.1,12.753,0.048,0.032,-0.04,9.25,0.044,25,   ,-0.31,       ,0,Simbad,
821,Platais_6        ,m,o,93.765,3.85,205.315,-6.306,0.045,0.7,1.3,-4.3,-4.2,25.5,7.52,3,2,214,847,347,0,7.702,0,0,-0.05,7.96,0.006,2,   ,        ,       ,0,Simbad,
822,NGC_2204         , , ,93.888,-18.66,226.006,-16.109,0.01,0.105,0.155,0.5,3.36,89,1.8,12,1,53,77,3790,0.021,12.9,0.01,0.007,-0.02,9.29,0.018,24,   ,-0.32,0.1,12,Simbad,
823,FSR_0909         , , ,93.934,19.005,192.025,1.022,0.01,0.06,0.115,-0.9,-6.1,-2.9,1.78,1,3,28,96,2167,0.687,11.9,0.33,0.22,0,8.445,       ,1,   ,        ,       ,0,Simbad,
825,BDSB_81          , , ,93.948,14.277,196.189,-1.219,0.01,0.04,0.085,-0.96,1.39,       ,        ,0,2,13,47,2669,0.833,12.4,0.4,0.267,0.03,8.115,       ,    ,irc,        ,       ,0,Simbad,
826,FSR_0811         , , ,94.102,36.365,176.675,9.274,0.02,0.075,0.15,-3.02,1.6,       ,        ,0,4,21,49,5444,0.375,13.8,0.18,0.12,0,8.8,       ,    ,   ,        ,       ,0,Simbad,
827,FSR_1117         ,r,c,94.129,-8.945,217.029,-11.796,0.01,0.06,0.11,5.1,-0.72,       ,        ,0,2,15,26,1209,0.895,10.7,0.43,0.287,-0.04,7.5,       ,    ,   ,        ,       ,0,Simbad,
828,NGC_2202         ,r,c,94.215,6.027,203.593,-4.891,0.01,0.08,0.13,0.61,-1.93,       ,        ,0,2,30,62,1940,0.5,11.6,0.24,0.16,0,9.2,       ,    ,   ,        ,       ,0,Simbad,
829,FSR_0891         ,r,c,94.392,22.427,189.214,3.022,0.01,0.04,0.09,-0.46,-5.32,16,4.9,1,3,14,51,2075,0.666,11.799,0.32,0.213,-0.01,8.37,       ,1,irc,        ,       ,0,Simbad,
830,FSR_1056         , , ,94.47,-1.69,210.597,-8.241,0.018,0.09,0.18,0.54,-1.31,       ,        ,0,2,29,88,2589,0.416,12.2,0.2,0.133,-0.02,9.045,       ,    ,   ,        ,       ,0,Simbad,
831,Koposov_62       , , ,94.509,24.695,187.26,4.184,0.01,0.07,0.13,-2.1,-4.84,       ,        ,0,2,47,143,3435,0.375,12.8,0.18,0.12,-0.04,9.415,0.026,15,   ,        ,       ,0,Simbad,
832,FSR_0902         , , ,94.575,20.54,190.959,2.281,0.02,0.08,0.155,-0.51,-5.5,       ,        ,0,4,32,70,1243,0.396,10.6,0.19,0.127,0.02,7.145,       ,1,irc,        ,       ,0,Simbad,
835,FSR_0953         , , ,94.759,14.13,196.692,-0.596,0.018,0.05,0.1,-0.21,2.92,       ,        ,0,4,23,65,1734,0.481,11.35,0.231,0.154,0,8.75,0.082,2,irc,        ,       ,0,Simbad,
836,FSR_0988         , , ,94.74,7.327,202.687,-3.82,0.01,0.075,0.155,1.15,-0.93,       ,        ,0,1,30,92,2928,0.521,12.5,0.25,0.167,0,8.92,       ,    ,   ,        ,       ,0,Simbad,
837,Skiff_J0619+18.5 , , ,94.84,18.51,192.868,1.543,0.02,0.06,0.14,-0.78,-3,       ,        ,0,6,38,174,1380,0.312,10.8,0.15,0.1,-0.04,7.9,       ,    ,   ,        ,       ,0,Simbad,
838,Collinder_89     , , ,94.8,23.35,188.575,3.788,0.025,0.15,0.26,-0.3,-3.65,26.2,7.64,3,6,82,260,1021,0.479,10.199,0.23,0.153,-0.01,7.825,       ,    ,   ,        ,       ,0,Simbad,
839,ASCC_23          , , ,95.089,46.675,167.513,14.422,0.04,0.14,0.375,0.75,-1.44,       ,        ,0,7,37,96,600,0.1,8.923,0.048,0.032,-0.015,8.485,       ,    ,   ,        ,       ,0,Simbad,
840,FSR_1107         , , ,95.097,-7.005,215.688,-10.079,0.015,0.06,0.125,1.4,-4.28,       ,        ,0,3,13,50,3009,0.895,12.68,0.43,0.287,0,8.65,       ,    ,   ,        ,       ,0,Simbad,
841,NGC_2220         ,r,o,95.22,-44.7,252.536,-23.883,0.01,0.07,0.125,-1.28,9.68,       ,        ,0,2,12,27,1393,0.562,10.901,0.27,0.18,0.01,8.56,0.055,2,non,        ,       ,0,Simbad,
843,NGC_2215         , , ,95.22,-7.295,216.007,-10.099,0.03,0.14,0.325,1.53,-5.57,-10.7,0.66,4,9,92,293,1141,0.354,10.4,0.17,0.113,0,8.55,       ,    ,   ,        ,       ,0,Simbad,
844,Collinder_91     , , ,95.46,2.374,207.42,-5.493,0.02,0.13,0.255,0.67,-1.22,-11.8,        ,1,8,89,271,1467,0.521,11,0.25,0.167,0.01,8.64,0.036,4,   ,        ,       ,0,Simbad,
845,FSR_0859         ,r,o,95.448,27.1,185.517,6.051,0.012,0.055,0.08,-1.32,-1.65,       ,        ,0,1,20,39,4193,0.583,13.3,0.28,0.187,0,8.99,0.034,12,   ,        ,       ,0,Simbad,
846,FSR_0941         , , ,95.446,15.733,195.591,0.745,0.02,0.06,0.14,-0.83,-4.93,       ,        ,0,8,31,109,4610,0.874,13.6,0.42,0.28,0,8.665,0.04,18,irc,        ,       ,0,Simbad,
847,Berkeley_73      , , ,95.515,-6.319,215.253,-9.401,0.01,0.05,0.085,3.47,-1.72,95.7,0.2,2,1,13,33,7881,0.208,14.55,0.1,0.067,0,9.15,       ,    ,   ,-0.22,0.1,2,Simbad,
848,FSR_0888         , , ,95.557,23.41,188.847,4.431,0.01,0.07,0.15,-2.67,-5.4,       ,        ,0,1,26,109,1536,0.833,11.2,0.4,0.267,0.02,7.6,       ,    ,   ,        ,       ,0,Simbad,
849,FSR_0951         , , ,95.584,14.705,196.561,0.38,0.01,0.1,0.19,-0.26,-0.84,42,        ,1,3,104,288,1619,0.479,11.2,0.23,0.153,0.02,8.7,       ,    ,   ,        ,       ,0,Simbad,
850,Collinder_92     , , ,95.73,5.1,205.122,-3.99,0.012,0.1,0.215,-1.58,-0.73,       ,        ,0,2,46,207,2670,0.521,12.3,0.25,0.167,0,9.145,0.052,16,non,        ,       ,0,Simbad,
851,FSR_0880         ,r,c,95.76,24.532,187.936,5.115,0.02,0.08,0.145,-0.92,-4.09,       ,        ,0,4,53,131,2473,0.416,12.1,0.2,0.133,0,9,       ,    ,   ,        ,       ,0,Simbad,
852,FSR_0890         ,r,c,95.782,23.199,189.131,4.516,0.02,0.075,0.14,-1.76,-4.56,       ,        ,0,6,36,117,1522,0.583,11.1,0.28,0.187,0,7.5,       ,    ,   ,        ,       ,0,Simbad,
854,Dolidze_22       , , ,95.809,4.59,205.611,-4.157,0.025,0.09,0.16,-1.14,-1.42,       ,        ,0,7,43,122,1775,0.479,11.4,0.23,0.153,0,8.37,       ,1,dub,        ,       ,0,Simbad,
855,NGC_2219         , , ,95.932,-4.695,213.972,-8.302,0.015,0.07,0.145,-1.53,-1.98,       ,        ,0,1,19,64,2325,0.521,12,0.25,0.167,0.02,8.75,       ,    ,non,        ,       ,0,Simbad,
856,FSR_0962         , , ,95.962,14.1,197.267,0.42,0.01,0.08,0.135,-0.68,-2.41,       ,        ,0,3,45,114,2670,0.521,12.3,0.25,0.167,0.01,8.935,0.04,11,   ,        ,       ,0,Simbad,
857,FSR_0955         , , ,95.962,14.515,196.9,0.614,0.01,0.045,0.085,0.9,0.02,       ,        ,0,2,14,35,1994,0.625,11.7,0.3,0.2,0,7.4,       ,    ,   ,        ,       ,0,Simbad,
858,FSR_0927         , , ,96.06,18.017,193.847,2.334,0.025,0.07,0.165,-0.47,-1.68,       ,        ,0,7,43,207,2981,0.895,12.66,0.43,0.287,0.02,8.65,0.041,9,irc,        ,       ,0,Simbad,
859,FSR_1136         , , ,96.187,-10.265,219.145,-10.55,0.01,0.07,0.15,1.34,-1.31,       ,        ,0,2,18,56,1287,0.937,10.849,0.45,0.3,0,8.2,       ,    ,   ,        ,       ,0,Simbad,
860,FSR_1235         ,r,o,96.27,-23.31,231.364,-15.92,0.015,0.08,0.14,-1.67,3.96,       ,        ,0,1,24,41,1871,0.125,11.401,0.06,0.04,0,9.255,       ,    ,   ,        ,       ,0,Simbad,
861,BDSB_91          , , ,96.322,-10.555,219.469,-10.557,0.025,0.085,0.15,0.21,-0.74,       ,        ,0,6,24,47,1918,1.353,11.85,0.65,0.434,-0.03,6.65,       ,    ,irc,        ,       ,0,Simbad,
862,FSR_0957         , , ,96.36,14.575,197.027,0.982,0.02,0.065,0.14,0.6,-1.07,       ,        ,0,5,24,96,1786,0.437,11.4,0.21,0.14,0,8.735,0.035,4,irc,        ,       ,0,Simbad,
863,Teutsch_11       , , ,96.346,13.867,197.647,0.64,0.013,0.065,0.155,1.92,-3.01,21,7.4,1,3,29,120,5302,0.708,13.85,0.34,0.227,0.02,8.8,       ,    ,   ,        ,       ,0,Simbad,
864,Bochum_1         , , ,96.322,19.78,192.401,3.374,0.01,0.075,0.145,-0.93,-2.82,38,        ,1,3,26,98,3065,0.521,12.6,0.25,0.167,0,6.6,       ,    ,   ,        ,       ,0,Simbad,
865,FSR_0929         , , ,96.39,17.72,194.257,2.473,0.01,0.065,0.145,-0.51,-3.25,47.2,        ,1,2,31,113,1296,0.115,10.6,0.055,0.037,-0.03,8.495,       ,    ,irc,        ,       ,0,Simbad,
867,FSR_0948         , , ,96.468,15.86,195.939,1.674,0.025,0.07,0.13,-0.48,-4.27,       ,        ,0,12,38,93,2991,0.375,12.5,0.18,0.12,0.01,8.78,0.035,6,irc,        ,       ,0,Simbad,
868,NGC_2225         , , ,96.655,-9.64,218.78,-9.861,0.018,0.06,0.15,1.31,-1.97,       ,        ,0,4,21,57,3201,0.354,12.64,0.17,0.113,0,9.165,       ,    ,   ,-0.4,       ,0,Simbad,
871,NGC_2232         , , ,96.99,-4.795,214.541,-7.406,0.04,0.165,0.38,-4.15,-2.43,19.8,4.54,4,5,26,110,330,0.031,7.603,0.015,0.01,0,7.7,       ,    ,   ,0.32,0.08,0,Simbad,
873,FSR_1033         , , ,97.087,2.935,207.674,-3.792,0.02,0.065,0.12,0.59,-3.52,       ,        ,0,3,19,65,1710,0.729,11.399,0.35,0.233,0,8.515,       ,    ,   ,        ,       ,0,Simbad,
874,FSR_0936         , , ,97.147,16.927,195.296,2.746,0.01,0.07,0.115,-0.98,-1.49,       ,        ,0,2,31,78,3161,0.625,12.7,0.3,0.2,0.02,8.955,0.045,9,   ,        ,       ,0,Simbad,
875,ASCC_24          ,m,o,97.185,-6.98,216.601,-8.213,0.02,0.12,0.29,-5.3,-4.05,16.4,3.31,4,2,11,29,381,0.146,7.952,0.07,0.047,0,7.3,       ,    ,   ,        ,       ,0,Simbad,
876,FSR_0831         ,r,o,97.2,33.645,180.292,10.338,0.02,0.065,0.12,-2.11,-1.7,       ,        ,0,3,15,40,2443,0.5,12.1,0.24,0.16,0,9.265,0.082,5,   ,        ,       ,0,Simbad,
877,FSR_0967         , , ,97.315,14.255,197.741,1.653,0.01,0.04,0.09,0.03,-1.98,       ,        ,0,2,17,37,4783,0.937,13.7,0.45,0.3,0.01,8.625,0.075,7,   ,        ,       ,0,Simbad,
878,NGC_2234         , , ,97.335,16.759,195.528,2.828,0.02,0.07,0.16,-0.36,-2,       ,        ,0,6,27,83,6871,0.979,14.5,0.47,0.313,0,8.08,0.044,14,   ,        ,       ,0,Simbad,
879,Alessi_53        , , ,97.33,9.165,202.258,-0.695,0.01,0.06,0.11,1.59,-1.99,       ,        ,0,2,24,53,2394,0.635,12.1,0.305,0.203,0,7,       ,    ,   ,        ,       ,0,Simbad,
880,NGC_2243         , , ,97.392,-31.285,239.477,-18.018,0.015,0.085,0.165,-2.81,4.09,55,1.77,9,3,19,41,4446,0.062,13.26,0.03,0.02,0,9.135,       ,    ,   ,-0.49,0.05,9,Simbad,
881,NGC_2236         , , ,97.417,6.817,204.379,-1.707,0.03,0.09,0.165,-1.95,-1.41,       ,        ,0,13,85,180,2654,0.562,12.3,0.27,0.18,0.01,8.75,       ,    ,   ,        ,       ,0,Simbad,
883,FSR_1031         , , ,97.575,3.39,207.494,-3.151,0.018,0.073,0.16,0.77,-2.72,       ,        ,0,7,30,149,1791,0.729,11.5,0.35,0.233,-0.02,8.635,0.056,3,irc,        ,       ,0,Simbad,
884,Collinder_96     , , ,97.627,2.845,208.002,-3.355,0.02,0.07,0.11,0.29,-3.09,12,7.4,1,4,20,31,1056,0.562,10.299,0.27,0.18,0,7.8,       ,    ,   ,        ,       ,0,Simbad,
885,Alessi_14        , , ,97.608,9.741,201.874,-0.186,0.015,0.038,0.085,-1.95,0.13,       ,        ,0,5,9,27,2088,0.625,11.8,0.3,0.2,0,8.6,       ,    ,ast,        ,       ,0,Simbad,
886,Czernik_26       , , ,97.755,-4.215,214.367,-6.464,0.018,0.06,0.115,-1.69,0.9,       ,        ,0,9,39,75,7655,0.25,14.5,0.12,0.08,0,9,       ,    ,   ,-0.38,       ,0,Simbad,
887,vdBergh_80       ,n,o,97.708,-9.65,219.253,-8.934,0.02,0.085,0.13,-1.85,1.14,       ,        ,0,3,11,20,2069,0.687,11.8,0.33,0.22,0,6.68,       ,    ,   ,        ,       ,0,Simbad,
889,Collinder_95     ,n,o,97.77,9.91,201.798,0.034,0.02,0.09,0.17,0.37,-4.09,-11,7.4,1,4,21,50,635,0.583,9.201,0.28,0.187,-0.02,7.3,       ,1,   ,        ,       ,0,Simbad,
890,IC_446           ,n,o,97.759,10.435,201.328,0.268,0.012,0.093,0.18,2.7,-1.46,       ,        ,0,1,33,89,1871,1.832,11.95,0.88,0.587,0,7.3,       ,    ,irc,        ,       ,0,Simbad,
891,FSR_0979         , , ,97.815,11.083,200.779,0.616,0.025,0.075,0.155,2.32,-0.22,       ,        ,0,11,37,97,1933,1.145,11.8,0.55,0.367,0.03,8.7,       ,    ,irc,        ,       ,0,Simbad,
892,Collinder_97     , , ,97.92,5.975,205.357,-1.653,0.02,0.11,0.155,-0.92,-2.18,17.9,3.91,4,5,56,136,1259,0.312,10.601,0.15,0.1,-0.03,8.4,       ,    ,   ,        ,       ,0,Simbad,
893,Juchert_18       , , ,97.863,6.804,204.595,-1.321,0.012,0.05,0.095,-1.81,-2.04,       ,        ,0,1,16,41,2290,0.625,12,0.3,0.2,0.02,9.02,0.04,3,   ,        ,       ,0,Simbad,
895,FSR_0977         , , ,97.965,11.845,200.171,1.099,0.02,0.075,0.145,3.15,0.25,       ,        ,0,7,33,88,1916,0.583,11.6,0.28,0.187,0.01,8.68,0.071,4,irc,        ,       ,0,Simbad,
896,NGC_2244         ,n,o,97.98,4.94,206.303,-2.078,0.02,0.155,0.365,-0.84,-0.94,26.2,3.37,12,5,89,236,1532,0.541,11.1,0.26,0.173,-0.03,6.7,       ,    ,   ,        ,       ,0,Simbad,
898,FSR_0974         , , ,98.145,12.543,199.633,1.577,0.012,0.062,0.135,1.05,-1.16,       ,        ,0,5,30,124,2308,0.573,12,0.275,0.183,-0.02,8.91,0.031,8,irc,        ,       ,0,Simbad,
900,NGC_2240         , , ,98.332,35.265,179.208,11.877,0.01,0.06,0.14,-1.01,-1.54,15.8,0.2,1,2,20,70,1551,0.146,11,0.07,0.047,-0.04,9.2,       ,    ,   ,        ,       ,0,Simbad,
902,Berkeley_23      , , ,98.325,20.525,192.602,5.386,0.01,0.06,0.125,-1.36,-2.34,       ,        ,0,2,22,63,4724,0.4,13.5,0.192,0.128,0,8.97,0.02,11,   ,0.07,       ,0,Simbad,
904,FSR_0905         , , ,98.427,22.288,191.065,6.268,0.02,0.075,0.155,0.35,-4.59,       ,        ,0,6,43,136,1786,0.375,11.38,0.18,0.12,0.01,8.3,0.064,2,   ,        ,       ,0,Simbad,
905,NGC_2250         , , ,98.422,-5.08,215.445,-6.26,0.018,0.085,0.165,-0.24,-1.55,       ,        ,0,2,28,94,1338,0.521,10.8,0.25,0.167,0,8.495,       ,    ,dub,        ,       ,0,Simbad,
907,Basel_8          , , ,98.55,8.01,203.839,-0.16,0.015,0.09,0.17,-2.04,-0.47,11,7.4,1,3,44,175,1432,0.375,10.9,0.18,0.12,-0.02,7.925,0.099,2,   ,        ,       ,0,Simbad,
908,RMC-4b           , , ,98.559,4.46,206.995,-1.787,0.018,0.065,0.1,-0.75,-1.26,       ,        ,0,2,10,17,1174,0.625,10.549,0.3,0.2,0,8.29,       ,1,irc,        ,       ,0,Simbad,
909,FSR_1317         ,r,c,98.535,-34.944,243.435,-18.436,0.018,0.052,0.09,3.64,7.92,       ,        ,0,2,9,18,2180,0.645,11.9,0.31,0.207,0.055,8.6,       ,1,   ,        ,       ,0,Simbad,
910,FSR_1099         , , ,98.625,-3.84,214.425,-5.52,0.01,0.085,0.14,-0.54,-0.25,       ,        ,0,1,37,91,1952,0.458,11.6,0.22,0.147,0,8.635,       ,1,   ,        ,       ,0,Simbad,
911,NGC_2252         , , ,98.625,5.37,206.217,-1.31,0.02,0.11,0.22,-1.45,-2.77,9,7.4,1,3,65,251,900,0.1,9.803,0.048,0.032,-0.05,8.86,0.02,3,   ,        ,       ,0,Simbad,
912,FSR_0848         , , ,98.611,31.4,182.873,10.439,0.01,0.045,0.11,-2.68,-3.03,       ,        ,0,1,8,48,3300,0.333,12.7,0.16,0.107,0,9.195,0.064,3,   ,        ,       ,0,Simbad,
913,FSR_1106         , , ,98.632,-5.245,215.688,-6.148,0.01,0.07,0.15,-0.97,-1.23,       ,        ,0,3,30,92,2038,0.479,11.7,0.23,0.153,0,8.9,       ,    ,   ,        ,       ,0,Simbad,
915,NGC_2248         , , ,98.655,26.305,187.535,8.248,0.01,0.025,0.05,-2.96,-0.92,55.6,3.9,1,2,8,13,3001,0.354,12.5,0.17,0.113,-0.03,9.16,       ,    ,ast,        ,       ,0,Simbad,
916,NGC_2251         , , ,98.655,8.37,203.568,0.098,0.025,0.095,0.18,-1.95,-2.34,-16,7.4,1,6,89,229,1329,0.189,10.679,0.091,0.061,0,8.455,0.074,3,   ,0.25,0.04,0,Simbad,
917,FSR_1063         , , ,98.658,-0.267,211.247,-3.866,0.02,0.09,0.175,2.96,0.15,       ,        ,0,7,59,153,2032,0.5,11.7,0.24,0.16,0,8.86,0.012,6,irc,        ,       ,0,Simbad,
919,FSR_0935         , , ,98.79,17.742,195.291,4.513,0.02,0.09,0.135,1.8,-2.01,       ,        ,0,10,58,89,2955,0.458,12.5,0.22,0.147,0,8.8,       ,    ,   ,        ,       ,0,Simbad,
920,FSR_1187         ,r,c,98.872,-14.99,224.629,-10.241,0.02,0.085,0.16,-0.69,1.42,       ,        ,0,3,18,59,2817,0.625,12.45,0.3,0.2,0.02,8.45,       ,    ,   ,        ,       ,0,Simbad,
924,NGC_2254         , , ,98.941,7.67,204.32,0.028,0.02,0.07,0.15,-2.09,-1.46,       ,        ,0,5,42,87,2928,0.521,12.5,0.25,0.167,0,8.675,0.05,15,   ,        ,       ,0,Simbad,
925,FSR_1065         , , ,99.019,-0.667,211.769,-3.727,0.018,0.06,0.125,1.06,-1.19,       ,        ,0,5,32,112,1551,0.458,11.1,0.22,0.147,0,8.79,       ,    ,irc,        ,       ,0,Simbad,
926,FSR_1032         , , ,99.067,4,207.637,-1.548,0.01,0.045,0.1,-1.9,-0.37,       ,        ,0,2,14,35,1944,1.728,12,0.83,0.554,0,8.72,       ,    ,   ,        ,       ,0,Simbad,
